Date,Workout
03-01-2024,6 x 35m
03-04-2024,Jump Day
03-05-2024,Forward x 6 Keg x 6 Squat Jump x 6 2 hops forward x 6 2 hops keg x 6 Lunge 2 x 10 Bench + Forward x 6
03-06-2024,Jump Day
03-07-2024,5 laps body circuit
03-08-2024,4 x 55m 3 x 30m
03-11-2024,Jump Day
03-12-2024,Sand Jumps 3 x 10 Lunge 3 x 10 Bounding 3 x 50m Frog + Tuck 2 x 10 8 x 10m
03-13-2024,Jump Day
03-14-2024,5 x 200m M @ 32-33/2:00 W @ 35-37/2:00
03-15-2024,8 x 30m
03-18-2024,Jump Day
03-19-2024,Forward x 6 Keg x 6 Squat Jump x 6 2 hops forward x 6 2 hops keg x 6 Lunge 4 x 10 Bench + Forward x 6
03-20-2024,Jump Day
03-21-2024,Pre-Meet
03-22-2024,@ Murray St.
03-23-2024,@ Murray St.
03-25-2024,Jump Day
03-26-2024,Forward x 8 Keg x 8 Squat Jump x 8 2 hops forward x 8 2 hops keg x 8 Lunge 5 x 10 Bench + Forward x 8
03-27-2024,Pre-Meet Or Jump Day
03-28-2024,@ Texas Or 10 x 100m @ 75%/1:00
03-29-2024,@ Texas Or 6 x 35m
03-30-2024,@ Texas
04-01-2024,Jump Day
04-02-2024,Pre-Meet
04-03-2024,@ Baylor
04-04-2024,@ Baylor
04-08-2024,Jump Day
04-09-2024,Forward x 8 Keg x 8 Squat Jump x 8 2 hops forward x 8 2 hops keg x 8 Lunge 6 x 10 Bench + Forward x 8
04-10-2024,Jump Day
04-11-2024,5 x 200m M @ 32-33/2:00 W @ 35-37/2:00
04-12-2024,8 x 30m
04-15-2024,Jump Day
04-16-2024,Sand Jumps 3 x 10 Lunge 3 x 10 Bounding 3 x 50m Frog + Tuck 2 x 10 8 x 10m
04-17-2024,Jump Day
04-18-2024,Pre-Meet
04-19-2024,@ Auburn
04-20-2024,@ Auburn
04-22-2024,Jump Day
04-23-2024,Forward x 10 Keg x 10 Squat Jump x 10 2 hops forward x 10 2 hops keg x 10 Lunge 7 x 10 Bench + Forward x 10
04-24-2024,Pre-Meet Or Jump Day
04-25-2024,@ LSU Or 10 x 100m @ 75%/1:00
04-26-2024,@ LSU Or 6 x 35m
04-27-2024,@ LSU
